#Taxon_ID	Taxon_Rank	Taxon_Name	Probability_Mass
Unclassifiable	Unknown	Unknown	1139.78207998104
904143	no rank	STAPHYLOCOCCUS WARNERI A487	0.595636634893
172109	species	NEMERTODERMA WESTBLADI	0.595305331533
179883	species	UNCULTURED CANDIDATUS SACCHARIBACTERIA SP.	0.59073718224066
31977	family	VEILLONELLACEAE	0.5791124474092
139150	species	HYPHODONTIA CRUSTOSA	0.576799108062
28035	species	STAPHYLOCOCCUS LUGDUNENSIS	0.5749744259702
1034809	no rank	STAPHYLOCOCCUS LUGDUNENSIS N920143	0.5749744259702
723287	species	ANNCALIIA ALGERAE	0.57346738024317
1408	species	BACILLUS PUMILUS	0.571428438124
371003	species	STAPHYLOCOCCUS SP. E2	0.569502785449
412838	species	OCEANAPIA SP. NIWAKD586	0.563304541919
1402	species	BACILLUS LICHENIFORMIS	0.561899137234
10141	species	CAVIA PORCELLUS	0.559794530754
340691	species	ADELINA GRYLLI	0.5580222154427
190070	species	DICELLOMYCES SCIRPI	0.556707368731
90269	species	APOPHYSOMYCES ELEGANS	0.550892014118
231055	species	UNCULTURED GLOMUS	0.54863395897428
541018	species	FOLLICULINA WWS 2008	0.548557075942
202244	species	BRYONOSEMA PLUMATELLAE	0.5460530856867
544561	species	UNCULTURED VANNELLIDAE	0.54311234297
117743	class	FLAVOBACTERIIA	0.541170549226
38082	species	PNEUMOCYSTIS WAKEFIELDIAE	0.540083658629
404740	species	THAUMATOMONADIDA ENVIRONMENTAL SAMPLE	0.540044152858
453999	species	UNCULTURED MARINE CILIATE	0.539848180536
143017	species	JAKOBA LIBERA	0.53798270348
546270	no rank	GEMELLA HAEMOLYSANS ATCC 10379	0.5377031817949
553212	no rank	STAPHYLOCOCCUS CAPITIS SK14	0.5342756540715
907244	species	RETICULITERMES CHINENSIS PARABASALIAN SYMBIONT	0.5326533551768
309357	genus	SACCHARINA	0.525866697292
577509	species	LAEVIPENEROPLIS SP. 2456 MH 2008	0.524044190094
1404	species	BACILLUS MEGATERIUM	0.523609622459
471824	genus	HALOPLASMA	0.520513815795253
471822	order	HALOPLASMATALES	0.520513815795253
1033810	no rank	HALOPLASMA CONTRACTILE SSD 17B	0.520513815795253
471825	species	HALOPLASMA CONTRACTILE	0.520513815795253
471823	family	HALOPLASMATACEAE	0.520513815795253
164121	species	CITTARIUM PICA	0.518881796138
116882	species	MACVICARIA MACASSARENSIS	0.51825425412
329655	species	UNCULTURED MARINE POLYCYSTINEA	0.5160898779819
31277	order	HYMENOSTOMATIDA	0.51273700980677
479617	species	VENTSIA TRICARINATA	0.506852504936
8060	species	POLLACHIUS VIRENS	0.50453919944186
298160	species	XYLEBORINUS SAXESENI	0.503880390804
340708	species	AGGREGATA OCTOPIANA	0.503187108057
1167632	no rank	STAPHYLOCOCCUS VITULINUS F1028	0.5
71237	species	STAPHYLOCOCCUS VITULINUS	0.5
9823	species	SUS SCROFA	0.499188048996
408172	species	MARINE METAGENOME	0.4987031840448
908469	species	TRICHOTOSPOREA PYGOPELLITA	0.4947306151922
98822	genus	SPICARA	0.490342525242667
98821	family	CENTRACANTHIDAE	0.490342525242667
98823	species	SPICARA MAENA	0.490342525242667
668368	species	PROTOSTELIUM NOCTURNUM	0.488104821593
660234	species	BACILLUS SP. JS 50	0.487007849678
49980	species	CLIMACOSTOMUM VIRENS	0.486367570372
191594	species	AMBLYOSPORA CANADENSIS	0.48601614232055
70528	species	AMBLYOSPORA STIMULI	0.4853801077114
193323	species	UNCULTURED RUMEN PROTOZOA	0.48072819971
522613	species	RHODOPSEUDOMONAS SP. CS30	0.480137883883
8003	family	ELECTROPHORIDAE	0.476988791335067
8004	genus	ELECTROPHORUS	0.476988791335067
8005	species	ELECTROPHORUS ELECTRICUS	0.476988791335067
46026	species	EUFOLLICULINA UHLIGI	0.475619062667
2878	family	ECTOCARPACEAE	0.475487434467333
2880	species	ECTOCARPUS SILICULOSUS	0.475487434467333
2879	genus	ECTOCARPUS	0.475487434467333
645133	no rank	COLLETOTRICHUM GRAMINICOLA M1.001	0.4753322793726
469472	no rank	COCCIDIOIDES POSADASII CPA 0001	0.472547518704
594563	species	STREPTOMYCES SP. PNA	0.471198396297
390253	species	PSEUDOTRICHONYMPHA SP. LA10CP P1	0.4703404180785
189649	species	DICTYURUS PURPURASCENS	0.469997357027
1379	species	GEMELLA HAEMOLYSANS	0.46917335117038
941234	species	UNCULTURED CHAETOCEROS	0.468497778947
298463	species	PACHOS SP. JAPAN RJH 2004	0.468364941859
404767	species	UNCULTURED AURICULARIACEAE	0.465540027492
311571	species	OPERCULINA DISCOIDALIS	0.4647291121474
904338	no rank	STAPHYLOCOCCUS WARNERI VCU121	0.464010896278
228654	species	PSYCHROBACTER PULMONIS	0.463442364338
104054	species	HODOTERMOPSIS SJOESTEDTI PARABASALIAN SYMBIONT CLONE HSS1	0.4626126410269
460812	species	AMMONIA SP. JP 2007	0.4617459564463
104055	species	HODOTERMOPSIS SJOESTEDTI PARABASALIAN SYMBIONT CLONE HSS2	0.4607141720922
281670	species	PROARCTACARUS OREGONENSIS	0.457956542259
159862	species	NUMMULITES VENOSUS	0.4569512154924
174293	species	UNCULTURED MICROGENOMATES BACTERIUM	0.4534028920442
630953	species	PLACODISCUS ACANTHOPAGRI	0.446187483939
650274	species	GREGARINA BASICONSTRICTONEA	0.4454745887818
56899	species	PARASITAXUS USTA	0.441762273214
345007	species	BREVUNDIMONAS SP. TIBET IK73	0.441321984595
30611	species	OTOLEMUR GARNETTII	0.4407915319132
46770	species	CENARCHAEUM SYMBIOSUM	0.440181030209
101123	species	PILOBOLUS UMBONATUS	0.439673301752
5630	species	LAETIPORUS SULPHUREUS	0.438679649747
268485	species	THAUMATOMONAS LAUTERBORNII	0.43858367439
526525	order	ERYSIPELOTRICHALES	0.437690933091333
526524	class	ERYSIPELOTRICHIA	0.437690933091333
128827	family	ERYSIPELOTRICHACEAE	0.437690933091333
33634	no rank	STRAMENOPILES	0.437432104736
194842	species	UNCULTURED METHANOBACTERIALES ARCHAEON	0.4367990017301
3027	class	CRYPTOPHYTA	0.435840243694
599894	species	PARABIROJIMIA MULTINUCLEATA	0.433565060927
466796	species	RICKERA SORPTA	0.432361088193
587871	species	APICOMPLEXA SP. PHAEDON BRASSICAE/DAEGWALLYEONG	0.431937552359
491736	species	STAPHYLOCOCCUS SP. K01 16	0.426801806541
102400	species	SPONDYLUS CRASSISQUAMATUS	0.426065194008
328846	species	DICTYOSPORIUM ALATUM	0.424779333159
317417	species	PLEOSPORALES SP. MEB2005	0.423843516306
293869	species	PARAMPHIDELUS SP. JH 2004	0.423516986974
211210	species	ALAIMUS PARVUS	0.418649521765
171953	species	UNCULTURED ACIDOBACTERIA BACTERIUM	0.4168197882498
191635	species	MELOIDOGYNE MICROTYLA	0.415350466886
63952	species	PHEROPSOPHUS AEQUINOCTIALIS	0.413558232926
137	family	SPIROCHAETACEAE	0.409843956946
107628	species	UNCULTURED RUMEN METHANOGEN 2	0.408358609225
330975	species	DYSTERIA PROCERA	0.406974240684
189442	species	UDOTEA LOOENSIS	0.4016729326978
88636	species	GYALECTA ULMI	0.399651700216
411637	species	VANNELLA EPIPETALA	0.399345666296
65586	species	THALASSICOLLA NUCLEATA	0.3973962569145
153809	species	UNCULTURED PROTEOBACTERIUM	0.397285534439
114243	species	UNCULTURED EURYARCHAEOTE	0.3970683049433
624414	species	DACTYLOGYRIDAE SP. FS 2009	0.395780471781
304090	species	EURYHALIOTREMA CRIBBI	0.394970733294
88069	species	BACILLIDIUM SP.	0.393371080257
72228	species	OPHIOCORDYCEPS SINENSIS	0.3928282354704
759960	species	STRAMENOPILE SP. ME5	0.389880129276
87106	species	THRAUSTOCHYTRIUM STRIATUM	0.389038339472
638531	species	SOMATOCHLORA SAHLBERGI	0.3875770402275
216934	species	SPIROPLASMA CORRUSCAE	0.379639704446
321164	species	SCOMBEROMORUS NIPHONIUS	0.377566456659
63603	species	MONOPYLOCYSTIS VISVESVARAI	0.3753376068053
265581	species	PSAMMODICTYON PANDURIFORME	0.372587619563
525378	no rank	STAPHYLOCOCCUS CAPRAE M23864:W1	0.3707552367145
165853	species	PSEUDODACTYLOGYROIDES APOGONIS	0.369432783504
683721	species	BRADYNECTES STERRERI	0.366860749799
81946	species	PILOBOLUS LONGIPES	0.365797233546
312235	species	GORDONIA SP. M1 5 1	0.3640639259692
376490	species	DESULFOVIBRIO BIZERTENSIS	0.363047486832
52053	species	NEMERTINOIDES ELONGATUS	0.361891195366
2787	species	PORPHYRA PURPUREA	0.354342629588
3988	species	RICINUS COMMUNIS	0.354031774984
189431	species	CHLORODESMIS FASTIGIATA	0.353829903427
4783	genus	PHYTOPHTHORA	0.3497168622625
4776	order	PERONOSPORALES	0.3497168622625
155900	species	UNCULTURED ORGANISM	0.3472972396409
49331	species	CANDIDA PARARUGOSA	0.34402498745
33026	species	SPOROLACTOBACILLUS DEXTRUS	0.342866803717
2089	species	ANAEROPLASMA VARIUM	0.342842694114
390267	species	PSEUDOTRICHONYMPHA SP. MA55PA	0.3411381277253
390261	species	PSEUDOTRICHONYMPHA SP. LA19SC P8	0.3411381277163
225107	species	KARENIA MIKIMOTOI	0.340931592924
29190	species	AMMONIA BECCARII	0.339735087988
247150	species	DYSTERIA DEROUXI	0.339434956865
7234	species	DROSOPHILA PERSIMILIS	0.3379756288226
57449	species	BIPALIUM TRILINEATUM	0.337696465132
